,academic_year_first_registration,birth_date,nacionality,num_registrations,num_registrations_course_conferent_degree,working_student,age,total_ects,has_scholarship,moved_student,registrations,repetitions,attendance_T,attendance_TP,attendance_PL,TP_time,PL_time,frequency_grade_result,frequency_grade,normal_grade_result,normal_grade,recovery_grade_result,recovery_grade,valid_final_grade,years_since_registration,dropout
873,2013/2014,1994-06-19 05:00:00,PRT,3,8,0,27,72.0,False,False,1,0,0.0,0.1,0.0,15:00:00,15:00:00,ADNF,0.0,F,0.0,F,0.0,0,2,True
874,2013/2014,1993-05-27 05:00:00,PRT,3,7,0,28,57.0,False,False,1,1,0.0,0.0,0.0,15:00:00,15:00:00,ADNF,0.0,F,0.0,F,0.0,0,2,True
875,2013/2014,1995-08-29 05:00:00,PRT,10,6,0,25,79.0,False,False,5,1,0.2592592592592592,0.7,0.25,15:00:00,20:00:00,AP,10.0,F,0.0,F,0.0,1,2,False
876,2013/2014,1995-01-02 06:00:00,PRT,3,8,0,26,73.0,False,False,1,0,0.5185185185185185,0.7272727272727273,0.25,15:30:00,22:00:00,R,7.0,F,0.0,AP,12.0,1,2,False
877,2013/2014,1994-07-09 05:00:00,PRT,1,6,0,27,66.0,True,True,1,1,0.0,0.0,0.0,15:30:00,15:00:00,ADNF,0.0,F,0.0,AP,12.0,1,2,False
878,2013/2014,1995-12-09 06:00:00,PRT,2,4,0,25,77.0,False,True,1,1,0.0,0.0,0.0,20:00:00,15:00:00,ADNF,0.0,F,0.0,F,0.0,0,2,True
879,2013/2014,1994-06-29 05:00:00,PRT,3,5,0,27,75.0,False,True,1,1,0.037037037037037,0.1,0.6666666666666666,15:00:00,19:30:00,ADNF,0.0,F,0.0,R,6.0,0,2,True
880,2013/2014,1994-06-09 05:00:00,PRT,8,5,0,27,76.0,False,True,2,1,0.037037037037037,0.2,0.0,15:00:00,15:00:00,ADNF,0.0,F,0.0,F,0.0,0,2,True
881,2013/2014,1995-04-06 05:00:00,PRT,1,7,0,26,73.0,False,True,1,0,0.1111111111111111,0.7,0.6666666666666666,15:00:00,15:00:00,R,7.0,F,0.0,R,7.0,0,2,False
882,2013/2014,1995-05-25 05:00:00,PRT,1,6,0,26,72.0,False,True,1,0,0.2222222222222222,0.8181818181818182,0.6666666666666666,15:30:00,21:30:00,AP,11.0,F,0.0,F,0.0,1,2,False
883,2013/2014,1995-11-10 06:00:00,PRT,1,8,0,25,78.0,False,True,1,1,0.2592592592592592,0.9,0.6666666666666666,15:00:00,15:00:00,AP,12.0,F,0.0,F,0.0,1,2,False
884,2013/2014,1995-12-12 06:00:00,PRT,1,6,0,25,76.0,False,True,1,0,0.4444444444444444,0.7,1.0,15:00:00,19:30:00,AP,11.0,F,0.0,F,0.0,1,2,False
885,2013/2014,1995-07-31 05:00:00,PRT,5,8,0,25,74.0,False,True,1,0,0.037037037037037,0.2727272727272727,0.6666666666666666,20:00:00,19:30:00,ADNF,0.0,F,0.0,AP,11.0,1,2,False
886,2013/2014,1995-10-24 06:00:00,PRT,1,5,0,25,78.0,True,True,1,1,0.2962962962962963,0.4545454545454545,0.0,15:30:00,15:00:00,AP,10.0,F,0.0,F,0.0,1,2,False
887,2013/2014,1994-03-21 06:00:00,PRT,2,6,0,27,84.0,True,True,1,1,0.1851851851851851,0.9,0.6666666666666666,15:00:00,15:00:00,AP,12.0,F,0.0,F,0.0,1,2,False
888,2014/2015,1996-08-12 05:00:00,BRA,4,5,0,24,82.0,False,False,2,0,0.0,0.0,0.0,15:00:00,15:00:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
889,2014/2015,1996-07-03 05:00:00,PRT,4,5,0,25,72.0,False,True,3,0,0.3333333333333333,0.9,0.3333333333333333,15:00:00,15:00:00,R,5.0,F,0.0,F,0.0,0,1,True
890,2014/2015,1996-12-06 06:00:00,PRT,1,6,0,24,72.0,False,True,1,0,0.3703703703703703,0.7,1.0,15:00:00,21:30:00,R,2.0,F,0.0,F,0.0,0,1,True
891,2014/2015,1995-09-14 05:00:00,PRT,1,4,0,25,74.0,False,True,1,0,0.4074074074074074,0.1818181818181818,0.0,20:00:00,21:30:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
892,2014/2015,1996-08-23 05:00:00,PRT,2,7,0,24,66.0,False,True,1,0,0.4074074074074074,0.1818181818181818,0.6666666666666666,20:00:00,21:30:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
893,2014/2015,1996-12-04 06:00:00,PRT,2,6,0,24,66.0,False,False,2,0,0.6296296296296297,1.0,0.75,15:00:00,22:00:00,AP,12.0,F,0.0,F,0.0,1,1,False
894,2014/2015,1996-01-17 06:00:00,PRT,1,7,0,25,73.0,False,False,1,0,0.5185185185185185,1.0,0.75,15:00:00,22:00:00,AP,11.0,F,0.0,F,0.0,1,1,False
895,2014/2015,1996-05-29 05:00:00,PRT,2,6,0,25,59.0,False,False,1,0,0.925925925925926,1.0,0.5,15:00:00,20:00:00,AP,16.0,F,0.0,F,0.0,1,1,False
896,2014/2015,1996-07-12 05:00:00,PRT,1,5,0,24,73.0,False,False,1,0,0.7037037037037037,0.4545454545454545,0.75,15:30:00,22:00:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
897,2014/2015,1996-11-17 06:00:00,PRT,1,6,0,24,59.0,False,False,1,0,0.8888888888888888,1.0,0.5,15:00:00,20:00:00,AP,11.0,F,0.0,F,0.0,1,1,False
898,2014/2015,1996-04-14 05:00:00,PRT,1,6,0,25,66.0,False,False,1,0,0.8148148148148148,0.7272727272727273,0.5,15:30:00,20:00:00,AP,11.0,F,0.0,F,0.0,1,1,False
899,2014/2015,1996-05-14 05:00:00,PRT,3,8,0,25,59.0,False,False,1,0,0.925925925925926,0.7272727272727273,0.3333333333333333,15:30:00,15:00:00,AP,17.0,F,0.0,F,0.0,1,1,False
900,2014/2015,1996-10-07 05:00:00,PRT,2,8,0,24,59.0,False,False,1,0,0.3333333333333333,0.7272727272727273,0.6666666666666666,20:00:00,21:30:00,AP,13.0,F,0.0,AP,12.0,1,1,False
901,2014/2015,1996-12-04 06:00:00,PRT,2,5,0,24,59.0,False,False,1,0,0.4074074074074074,0.8181818181818182,0.5,20:00:00,17:00:00,AP,13.0,F,0.0,F,0.0,1,1,False
902,2014/2015,1996-12-14 06:00:00,PRT,1,7,0,24,66.0,False,False,1,0,0.2592592592592592,0.7272727272727273,0.6666666666666666,20:00:00,21:30:00,R,7.0,F,0.0,R,7.0,0,1,False
903,2014/2015,1996-06-12 05:00:00,PRT,1,6,0,25,66.0,False,False,1,0,0.4814814814814814,0.7272727272727273,0.6666666666666666,15:30:00,21:30:00,R,7.0,F,0.0,F,0.0,0,1,True
904,2014/2015,1996-12-03 06:00:00,PRT,2,7,0,24,66.0,False,False,1,0,0.1111111111111111,0.4545454545454545,0.5,15:30:00,20:00:00,AP,12.0,F,0.0,F,0.0,1,1,False
905,2014/2015,1996-03-22 06:00:00,PRT,2,7,0,25,69.0,False,True,2,0,0.1481481481481481,0.5,0.5,15:00:00,17:00:00,AP,13.0,F,0.0,F,0.0,1,1,False
906,2014/2015,1996-05-17 05:00:00,PRT,4,7,0,25,71.0,False,False,2,0,0.0,0.0,0.0,15:00:00,15:00:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
907,2014/2015,1996-09-14 05:00:00,PRT,2,7,0,24,73.0,False,False,1,0,0.4814814814814814,0.8181818181818182,0.6666666666666666,15:30:00,15:00:00,R,8.0,F,0.0,AP,13.0,1,1,False
908,2014/2015,1996-03-16 06:00:00,PRT,1,3,0,25,73.0,True,False,1,0,0.3703703703703703,0.4545454545454545,0.6666666666666666,15:30:00,15:00:00,ADNF,0.0,F,0.0,R,8.0,0,1,True
909,2014/2015,1996-05-05 05:00:00,PRT,1,3,0,25,75.0,False,True,1,0,0.2222222222222222,0.1818181818181818,0.0,15:30:00,15:00:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
910,2014/2015,1996-03-03 06:00:00,PRT,1,6,0,25,66.0,True,True,1,0,0.8888888888888888,1.0,0.6666666666666666,15:00:00,23:30:00,AP,13.0,F,0.0,F,0.0,1,1,False
911,2014/2015,1996-12-06 06:00:00,PRT,3,6,0,24,59.0,False,True,1,0,0.3333333333333333,0.9,0.5,15:00:00,17:00:00,AP,12.0,F,0.0,F,0.0,1,1,False
912,2014/2015,1996-03-03 06:00:00,PRT,1,6,0,25,73.0,False,False,1,0,0.037037037037037,0.0,0.0,15:00:00,15:00:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
913,2014/2015,1996-04-08 05:00:00,PRT,1,7,0,25,66.0,True,False,1,0,0.6296296296296297,0.7,0.5,15:00:00,20:00:00,R,6.0,F,0.0,R,6.0,0,1,False
914,2014/2015,1996-10-14 05:00:00,PRT,1,5,0,24,59.0,False,True,1,0,0.2962962962962963,0.9090909090909092,0.6666666666666666,20:00:00,21:30:00,AP,13.0,F,0.0,F,0.0,1,1,False
915,2014/2015,1996-02-18 06:00:00,PRT,3,6,0,25,59.0,False,True,1,0,0.8518518518518519,1.0,0.6666666666666666,15:00:00,23:30:00,AP,17.0,F,0.0,F,0.0,1,1,False
916,2014/2015,1996-05-29 05:00:00,PRT,1,6,0,25,59.0,False,True,1,0,0.2962962962962963,0.9,0.6666666666666666,15:00:00,21:30:00,R,6.0,F,0.0,F,0.0,0,1,True
917,2014/2015,1996-05-31 05:00:00,PRT,1,6,0,25,66.0,False,True,1,0,0.3333333333333333,0.7272727272727273,0.6666666666666666,20:00:00,21:30:00,AP,11.0,F,0.0,AP,14.0,1,1,False
918,2014/2015,1996-04-29 05:00:00,PRT,1,5,0,25,59.0,False,True,1,0,0.4814814814814814,1.0,0.75,15:00:00,22:00:00,AP,13.0,F,0.0,F,0.0,1,1,False
919,2014/2015,1996-05-11 05:00:00,PRT,4,7,0,25,72.0,False,True,1,0,0.4814814814814814,0.8181818181818182,0.75,15:30:00,22:00:00,AP,10.0,F,0.0,F,0.0,1,1,False
920,2014/2015,1996-10-23 05:00:00,PRT,1,6,0,24,72.0,False,True,1,0,0.037037037037037,0.0,0.0,15:00:00,15:00:00,ADNF,0.0,F,0.0,R,4.0,0,1,True
921,2014/2015,1995-06-20 05:00:00,PRT,3,5,0,26,69.0,True,True,2,0,0.5555555555555556,0.6363636363636364,0.6666666666666666,15:30:00,15:00:00,R,7.0,F,0.0,F,0.0,0,1,True
922,2014/2015,1996-09-23 05:00:00,PRT,1,4,0,24,71.0,True,True,1,0,0.1851851851851851,0.4,0.0,15:00:00,20:00:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
923,2014/2015,1995-08-30 05:00:00,PRT,1,5,0,25,73.0,False,True,1,0,0.2592592592592592,0.2727272727272727,0.0,15:30:00,22:00:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
924,2014/2015,1996-01-17 06:00:00,PRT,1,5,0,25,66.0,False,True,1,0,0.6296296296296297,1.0,0.5,15:00:00,17:00:00,AP,14.0,F,0.0,F,0.0,1,1,False
925,2014/2015,1996-02-28 06:00:00,PRT,1,4,0,25,59.0,False,True,1,0,0.2222222222222222,0.5454545454545454,0.75,20:00:00,20:00:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
926,2014/2015,1996-02-27 06:00:00,PRT,1,5,0,25,59.0,False,True,1,0,0.3333333333333333,0.9090909090909092,0.6666666666666666,20:00:00,21:30:00,AP,13.0,F,0.0,F,0.0,1,1,False
927,2014/2015,1996-12-01 06:00:00,PRT,4,7,0,24,82.0,False,True,1,0,0.1851851851851851,0.3636363636363636,0.6666666666666666,20:00:00,19:30:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
928,2014/2015,1996-08-07 05:00:00,PRT,3,7,0,24,82.0,False,False,1,0,0.4444444444444444,0.7,0.5,15:00:00,20:00:00,AP,11.0,F,0.0,F,0.0,1,1,False
929,2014/2015,1994-10-01 05:00:00,PRT,1,6,0,26,72.0,False,True,1,0,0.4814814814814814,0.9,0.6666666666666666,15:00:00,15:00:00,R,7.0,F,0.0,R,8.0,0,1,False
930,2014/2015,1996-04-22 05:00:00,PRT,4,7,0,25,82.0,False,True,1,0,0.3703703703703703,0.4545454545454545,0.6666666666666666,15:30:00,23:30:00,ADNF,0.0,F,0.0,R,6.0,0,1,True
931,2014/2015,1996-06-14 05:00:00,PRT,1,6,0,25,66.0,False,True,1,0,0.2962962962962963,0.7272727272727273,0.6666666666666666,20:00:00,21:30:00,AP,13.0,F,0.0,F,0.0,1,1,False
932,2014/2015,1996-12-27 06:00:00,PRT,1,5,0,24,76.0,False,True,1,0,0.7037037037037037,0.5454545454545454,0.5,15:30:00,17:00:00,AP,10.0,F,0.0,F,0.0,1,1,False
933,2014/2015,1996-06-08 05:00:00,PRT,3,5,0,25,66.0,True,True,1,0,0.5185185185185185,1.0,0.75,15:00:00,22:00:00,AP,13.0,F,0.0,F,0.0,1,1,False
934,2014/2015,1996-01-17 06:00:00,PRT,1,5,0,25,66.0,False,True,1,0,0.5555555555555556,1.0,0.5,15:00:00,17:00:00,AP,15.0,F,0.0,F,0.0,1,1,False
935,2014/2015,1996-03-05 06:00:00,PRT,2,6,0,25,79.0,False,True,1,0,0.2222222222222222,0.4545454545454545,0.25,20:00:00,20:00:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
936,2014/2015,1996-03-06 06:00:00,PRT,1,6,0,25,74.0,False,True,1,0,0.2592592592592592,0.3,0.3333333333333333,15:00:00,19:30:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
937,2014/2015,1995-12-20 06:00:00,PRT,1,3,0,25,79.0,False,False,1,0,0.037037037037037,0.0,0.0,15:00:00,15:00:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
938,2015/2016,1995-05-29 05:00:00,PRT,3,6,0,26,57.0,False,True,1,0,0.0,0.0,0.0,15:30:00,15:00:00,ADNF,0.0,F,0.0,F,0.0,0,0,True
939,2007/2008,1989-12-08 06:00:00,PRT,3,9,0,31,79.0,False,False,3,3,0.0,0.0,0.0,20:00:00,14:00:00,ADNF,0.0,F,0.0,R,5.0,0,9,True
940,2007/2008,1989-08-05 05:00:00,PRT,1,14,1,31,73.0,False,False,1,4,0.1428571428571428,0.1818181818181818,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,9,True
941,2007/2008,1989-06-24 05:00:00,PRT,9,13,0,32,78.0,False,True,8,1,0.0,0.0,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,9,True
942,2007/2008,1987-12-12 06:00:00,PRT,4,10,1,33,84.0,False,False,2,3,0.4642857142857143,0.4166666666666667,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,AP,12.0,1,9,False
943,1998/1999,1980-07-29 05:00:00,PRT,3,8,1,40,54.0,False,False,3,1,0.1071428571428571,0.0,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,18,True
944,2007/2008,1989-05-26 05:00:00,PRT,6,13,0,32,74.0,False,True,4,2,0.4642857142857143,0.1818181818181818,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,9,True
945,2006/2007,1981-08-20 05:00:00,PRT,5,13,1,39,79.0,False,False,4,5,0.1428571428571428,0.1666666666666666,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,10,True
946,1991/1992,1962-10-09 05:00:00,PRT,10,5,0,58,72.0,False,False,10,0,0.0714285714285714,0.0,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,25,True
947,2008/2009,1978-08-25 05:00:00,PRT,9,23,0,42,39.0,False,False,8,0,0.0,0.0,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,8,True
948,2009/2010,1991-01-26 06:00:00,PRT,4,9,0,30,79.0,False,False,3,4,0.0,0.0,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,7,True
949,2009/2010,1991-01-05 06:00:00,PRT,2,9,0,30,79.0,False,False,2,4,0.0,0.0,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,7,True
950,2009/2010,1991-01-05 06:00:00,PRT,1,12,1,30,74.0,False,False,1,2,0.0357142857142857,0.0,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,7,True
951,2009/2010,1991-02-08 06:00:00,PRT,3,8,0,30,62.0,False,False,3,2,0.0,0.0,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,7,True
952,2010/2011,1992-06-25 05:00:00,PRT,3,6,0,29,84.0,False,False,3,0,0.0357142857142857,0.0909090909090909,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,6,True
953,2010/2011,1992-07-08 05:00:00,PRT,4,8,0,29,84.0,False,True,3,3,0.0714285714285714,0.0,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,AP,11.0,1,6,False
954,2010/2011,1992-11-16 06:00:00,PRT,3,10,0,28,84.0,False,False,3,4,0.0,0.0,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,6,True
955,2010/2011,1992-12-31 06:00:00,PRT,3,7,0,28,84.0,False,True,3,0,0.0357142857142857,0.0909090909090909,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,6,True
956,2010/2011,1991-11-23 06:00:00,PRT,3,10,0,29,79.0,True,True,3,3,0.5,0.1818181818181818,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,6,True
957,2010/2011,1992-05-13 05:00:00,PRT,4,7,0,29,84.0,False,True,4,1,0.0,0.0,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,6,True
958,2010/2011,1990-02-11 06:00:00,PRT,4,8,0,31,78.0,False,True,2,2,0.1428571428571428,0.1111111111111111,0.0,20:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,6,True
959,2010/2011,1992-01-30 06:00:00,PRT,7,13,0,29,79.0,False,True,5,0,0.0,0.0,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,6,True
960,2010/2011,1992-05-24 05:00:00,PRT,5,10,0,29,60.0,False,True,4,3,0.0,0.0,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,6,True
961,2010/2011,1992-04-17 05:00:00,PRT,3,11,0,29,79.0,False,True,3,4,0.0357142857142857,0.3333333333333333,0.0,20:00:00,14:00:00,ADNF,0.0,F,0.0,R,2.0,0,6,True
962,2011/2012,1993-05-27 05:00:00,PRT,3,7,0,28,60.0,False,True,3,2,0.0357142857142857,0.1818181818181818,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,5,True
963,2011/2012,1993-04-24 05:00:00,PRT,1,7,0,28,61.0,False,False,1,4,0.0,1.0,0.0,20:00:00,14:00:00,AP,10.0,F,0.0,F,0.0,1,5,False
964,2011/2012,1993-04-24 05:00:00,PRT,3,9,0,28,60.0,False,True,3,1,0.5714285714285714,0.9090909090909092,0.0,16:00:00,14:00:00,R,2.0,F,0.0,F,0.0,0,5,True
965,2011/2012,1993-01-10 06:00:00,PRT,3,10,0,28,55.0,False,True,3,2,0.6785714285714286,0.8181818181818182,0.0,16:00:00,14:00:00,AP,12.0,F,0.0,F,0.0,1,5,False
966,2011/2012,1993-12-04 06:00:00,PRT,3,10,0,27,42.0,False,True,2,3,0.3571428571428571,0.0909090909090909,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,R,6.0,0,5,True
967,2011/2012,1990-07-25 05:00:00,PRT,6,8,0,30,78.0,False,False,1,1,0.4285714285714285,1.0,0.0,16:00:00,14:00:00,AP,12.0,F,0.0,F,0.0,1,5,False
968,2011/2012,1990-06-21 05:00:00,PRT,4,10,0,31,75.0,False,True,3,1,0.0714285714285714,0.0,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,5,True
969,2011/2012,1992-12-22 06:00:00,PRT,2,7,0,28,79.0,True,True,1,3,0.0,0.4545454545454545,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,AP,10.0,1,5,False
970,2011/2012,1993-04-05 05:00:00,PRT,1,10,0,28,79.0,False,True,1,1,0.2142857142857142,0.3636363636363636,0.0,16:00:00,14:00:00,AP,10.0,F,0.0,F,0.0,1,5,False
971,2012/2013,1994-01-19 06:00:00,PRT,4,8,0,27,73.0,False,True,2,2,0.0,0.1111111111111111,0.0,20:00:00,14:00:00,ADNF,0.0,F,0.0,R,4.0,0,4,True
972,2012/2013,1994-02-27 06:00:00,PRT,3,7,0,27,71.0,False,True,1,1,0.25,0.2727272727272727,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,4,True
973,2012/2013,1994-09-23 05:00:00,PRT,4,8,0,26,78.0,False,True,1,2,0.75,0.75,0.0,16:00:00,14:00:00,AP,10.0,F,0.0,F,0.0,1,4,False
974,2012/2013,1994-09-01 05:00:00,PRT,1,7,0,26,84.0,False,False,1,2,0.75,1.0,0.0,16:00:00,14:00:00,AP,15.0,F,0.0,F,0.0,1,4,False
975,2012/2013,1993-02-25 06:00:00,PRT,3,6,0,28,58.0,False,False,3,1,0.0714285714285714,0.3333333333333333,0.0,20:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,4,True
976,2012/2013,1994-10-04 05:00:00,PRT,3,8,0,26,36.0,False,True,2,3,0.1428571428571428,0.2727272727272727,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,4,True
977,2012/2013,1994-08-09 05:00:00,PRT,2,6,0,26,67.0,False,False,2,2,0.7857142857142857,0.6666666666666666,0.0,16:00:00,14:00:00,AP,12.0,F,0.0,F,0.0,1,4,False
978,2012/2013,1994-06-15 05:00:00,PRT,1,7,0,27,84.0,False,True,1,3,0.2142857142857142,1.0,0.0,20:00:00,14:00:00,AP,12.0,F,0.0,F,0.0,1,4,False
979,2012/2013,1994-05-26 05:00:00,PRT,2,6,0,27,51.0,False,True,2,3,0.7142857142857143,0.8888888888888888,0.0,20:00:00,14:00:00,AP,11.0,F,0.0,F,0.0,1,4,False
980,2012/2013,1994-11-05 06:00:00,PRT,4,8,0,26,90.0,False,True,2,3,0.1428571428571428,0.1818181818181818,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,AP,10.0,1,4,False
981,2012/2013,1994-06-25 05:00:00,PRT,4,9,0,27,56.0,False,True,3,1,0.4285714285714285,0.4545454545454545,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,R,7.0,0,4,True
982,2012/2013,1994-12-06 06:00:00,PRT,1,9,0,26,72.0,False,True,1,2,0.2142857142857142,0.8181818181818182,0.0,16:00:00,14:00:00,AP,12.0,F,0.0,F,0.0,1,4,False
983,2012/2013,1994-07-04 05:00:00,PRT,3,9,0,27,78.0,False,True,1,2,0.6071428571428571,0.5833333333333334,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,4,True
984,2012/2013,1993-06-07 05:00:00,PRT,3,6,0,28,60.0,False,False,3,0,0.6428571428571429,0.7272727272727273,0.0,16:00:00,14:00:00,AP,11.0,F,0.0,F,0.0,1,4,False
985,2012/2013,1994-10-07 05:00:00,PRT,2,8,0,26,76.0,False,True,1,1,0.4285714285714285,0.1666666666666666,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,4,True
986,2012/2013,1994-11-14 06:00:00,PRT,4,7,0,26,56.0,False,True,3,0,0.0,0.0,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,4,True
987,2012/2013,1994-07-15 05:00:00,PRT,2,8,0,26,78.0,True,True,1,3,0.1071428571428571,0.1666666666666666,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,4,True
988,2013/2014,1995-11-28 06:00:00,PRT,3,7,0,25,79.0,True,True,1,1,0.7142857142857143,0.7272727272727273,0.0,16:00:00,14:00:00,R,8.0,F,0.0,AP,10.0,1,3,False
989,2013/2014,1995-03-15 06:00:00,PRT,1,8,0,26,78.0,False,True,1,1,0.7857142857142857,0.75,0.0,16:00:00,14:00:00,ADNA,0.0,F,0.0,AP,12.0,1,3,False
990,2013/2014,1995-10-25 06:00:00,PRT,4,7,0,25,74.0,False,True,1,2,0.0,0.0,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,3,True
991,2013/2014,1995-07-05 05:00:00,PRT,5,8,0,26,74.0,False,False,1,2,0.5,0.6363636363636364,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,3,True
992,2013/2014,1995-10-02 05:00:00,PRT,2,7,0,25,30.0,False,False,2,1,0.0714285714285714,0.0909090909090909,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,3,True
993,2013/2014,1995-05-11 05:00:00,PRT,1,6,0,26,72.0,False,False,1,1,0.5714285714285714,0.5,0.0,16:00:00,14:00:00,AP,11.0,F,0.0,F,0.0,1,3,False
994,2013/2014,1996-01-12 06:00:00,PRT,8,7,0,25,72.0,False,True,1,2,0.1785714285714285,0.2727272727272727,0.0,16:00:00,14:00:00,AP,11.0,F,0.0,F,0.0,1,3,False
995,2013/2014,1995-02-25 06:00:00,PRT,4,6,0,26,84.0,False,True,4,0,0.4285714285714285,0.3636363636363636,0.0,16:00:00,14:00:00,AP,13.0,F,0.0,F,0.0,1,3,False
996,2013/2014,1994-04-05 05:00:00,PRT,1,7,0,27,84.0,False,True,1,2,0.0,0.1111111111111111,0.0,20:00:00,14:00:00,ADNF,0.0,F,0.0,R,6.0,0,3,True
997,2013/2014,1993-10-25 06:00:00,PRT,3,7,0,27,32.0,False,False,2,1,0.8214285714285714,0.9090909090909092,0.0,16:00:00,14:00:00,AP,11.0,F,0.0,F,0.0,1,3,False
998,2013/2014,1995-09-09 05:00:00,PRT,3,7,0,25,12.0,False,False,2,1,0.3928571428571428,0.5454545454545454,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,R,4.0,0,3,True
999,2013/2014,1995-04-06 05:00:00,PRT,1,7,0,26,79.0,False,True,1,1,0.75,0.6666666666666666,0.0,16:00:00,14:00:00,AP,10.0,F,0.0,F,0.0,1,3,False
1000,2013/2014,1995-11-27 06:00:00,PRT,2,6,0,25,48.0,True,True,1,1,0.1071428571428571,0.0909090909090909,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,3,True
1001,2013/2014,1993-06-03 05:00:00,PRT,2,7,0,28,78.0,True,True,1,1,0.0357142857142857,0.0,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,3,True
1002,2007/2008,1986-09-04 05:00:00,PRT,2,8,1,34,71.0,False,False,2,0,0.5357142857142857,0.6363636363636364,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,9,True
1003,2014/2015,1996-07-03 05:00:00,PRT,4,5,0,25,79.0,False,True,3,1,0.7142857142857143,0.6666666666666666,0.0,16:00:00,14:00:00,AP,11.0,F,0.0,F,0.0,1,2,False
1004,2014/2015,1996-07-12 05:00:00,PRT,1,5,0,24,85.0,False,False,1,1,0.0714285714285714,0.2727272727272727,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,2,True
1005,2014/2015,1996-09-11 05:00:00,PRT,2,7,0,24,73.0,False,True,1,0,0.6785714285714286,0.6363636363636364,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,2,True
1006,2014/2015,1996-04-22 05:00:00,PRT,1,7,0,25,73.0,False,False,1,0,0.1785714285714285,0.4545454545454545,0.0,16:00:00,14:00:00,ADNF,0.0,F,0.0,F,0.0,0,2,True
